area_type,availability,location,size,society,total_sqft,bath,balcony,price,location_numerical,Has Hall,Has Kitchen,Number of Bedrooms
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,Soazak ,1592,3.0,,125.0,664,1,1,3.0
Super built-up  Area,18-Nov,B Narayanapura,2 BHK,,1313,2.0,1.0,58.27,160,1,1,2.0
Super built-up  Area,21-May,Kogilu,3 BHK,Sourtal,1934,3.0,2.0,150.0,707,1,1,3.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Sancyi ,1200,2.0,1.0,49.5,509,1,1,2.0
Super built-up  Area,Ready To Move,Uttarahalli,6 BHK,PoetyHo,3600,6.0,2.0,120.0,1179,1,1,6.0
Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,935,2.0,1.0,45.0,896,1,1,2.0
Built-up  Area,Ready To Move,Bommasandra,2 BHK,Vaodspe,877,2.0,2.0,30.0,270,1,1,2.0
Super built-up  Area,Ready To Move,Ashwathnagar,2 BHK,GMentAp,936,2.0,2.0,42.0,148,1,1,2.0
Super built-up  Area,Ready To Move,Nagasandra,3 BHK,,1470,2.0,2.0,110.0,851,1,1,3.0
Built-up  Area,Ready To Move,Upkar Layout,1 Bedroom,,1050,1.0,1.0,70.0,1178,-1,0,1.0
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,0.0,69.61,522,1,1,2.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,2225,4.0,2.0,169.0,110,1,1,3.0
Plot  Area,Ready To Move,Sunkadakatte,3 Bedroom,,1200,2.0,0.0,80.0,1123,-1,0,3.0
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1901,3.0,2.0,119.0,360,1,1,3.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1819,3.0,2.0,100.0,1039,1,1,3.0
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,,1464,3.0,2.0,56.0,491,1,1,3.0
Plot  Area,Immediate Possession,Banashankari,,,2400,,,460.0,194,-1,0,
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630 - 3800,6.0,0.0,200.5,896,1,1,4.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,ImiteEl,5000,4.0,3.0,290.0,77,1,1,4.0
Super built-up  Area,Ready To Move,Someshwara Layout,4 BHK,,1200,4.0,3.0,169.0,1090,1,1,4.0
Super built-up  Area,Ready To Move,Kacharakanahalli,2 BHK,,1256,2.0,1.0,60.0,630,1,1,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,2.0,44.0,72,1,1,2.0
Plot  Area,Ready To Move,TC Palaya,4 Bedroom,,4800,3.0,3.0,302.0,1138,-1,0,4.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1435,3.0,3.0,70.0,716,1,1,3.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,4 BHK,,3245,4.0,,250.0,67,1,1,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ceiti I,1845,4.0,1.0,110.0,1039,1,1,3.0
Plot  Area,Ready To Move,Jigani,3 Bedroom,,2400,4.0,1.0,130.0,606,-1,0,3.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140,2.0,2.0,46.0,494,1,1,2.0
Super built-up  Area,18-Feb,Ulsoor,2 BHK,,1200,2.0,0.0,60.0,1176,1,1,2.0
Super built-up  Area,18-Aug,Talaghattapura,3 BHK,Sodgere,2254,3.0,2.0,170.0,1141,1,1,3.0
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,2.0,150.0,428,1,1,3.0
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,Caiseha,1020,2.0,1.0,37.0,591,1,1,2.0
Built-up  Area,Ready To Move,Bommanahalli,1 BHK,,515,1.0,1.0,25.0,269,1,1,1.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1893,3.0,2.0,140.0,757,1,1,3.0
Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,Pricae ,3025,3.0,0.0,500.0,1194,1,1,3.0
Built-up  Area,Ready To Move,Suddaguntepalya,2 BHK,,830,2.0,0.0,34.0,1116,1,1,2.0
Built-up  Area,Ready To Move,Singasandra,2 Bedroom,,600,2.0,1.0,36.5,1084,-1,0,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,90.0,268,1,1,3.0
Plot  Area,Ready To Move,Kathreguppe,4 Bedroom,,3200,4.0,2.0,1200.0,674,-1,0,4.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1200,2.0,1.0,78.0,670,1,1,2.0
Super built-up  Area,19-Oct,Sarjapur  Road,2 BHK,Brareio,1233,2.0,2.0,77.65,1039,1,1,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1255,2.0,2.0,65.26,216,1,1,2.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1200,2.0,2.0,37.8,232,1,1,2.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,175.0,1190,1,1,3.0
Built-up  Area,Ready To Move,1st Phase JP Nagar,5 Bedroom,,1500,5.0,,85.0,29,-1,0,5.0
Built-up  Area,Ready To Move,Kothannur,2 BHK,,740,2.0,1.0,34.0,715,1,1,2.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,,1250,3.0,3.0,48.0,688,1,1,3.0
Super built-up  Area,Ready To Move,Channasandra Layout,2 BHK,,1210,2.0,2.0,40.0,307,1,1,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1525,2.0,2.0,60.0,1039,1,1,3.0
Built-up  Area,Ready To Move,Kogilu,1 Bedroom,,540,1.0,0.0,36.0,707,-1,0,1.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Sahtsva,1240,2.0,1.0,84.0,1168,1,1,3.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1245,2.0,1.0,68.0,1115,1,1,3.0
Plot  Area,Ready To Move,HAL 3rd Stage,3 Bedroom,,1865,3.0,3.0,350.0,487,-1,0,3.0
Super built-up  Area,18-Mar,Hosa Road,2 BHK,Akvam P,1004 - 1204,2.0,0.0,36.43,536,1,1,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.99,268,1,1,3.0
Built-up  Area,18-May,Nagavara,2 BHK,,2200,2.0,1.0,55.0,853,1,1,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1155,2.0,1.0,60.0,1252,1,1,2.0
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,Mavelr ,1520,2.0,3.0,62.0,379,1,1,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,245.0,1153,1,1,4.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1290,2.0,1.0,85.0,509,1,1,2.0
Built-up  Area,Ready To Move,1st Block HRBR Layout,3 BHK,,2300,3.0,,80.0,26,1,1,3.0
Built-up  Area,Ready To Move,Kannamangala,4 Bedroom,,3000,4.0,0.0,200.0,665,-1,0,4.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,361.33Sq. Yards,4.0,,270.0,1252,1,1,4.0
Built-up  Area,Ready To Move,Austin Town,1 BHK,,400,1.0,0.0,14.0,155,1,1,1.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1340,2.0,3.0,53.6,194,1,1,3.0
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,SrntsRV,900,2.0,1.0,95.0,786,1,1,2.0
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,1800,4.0,,324.0,976,-1,0,6.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,987,2.0,1.0,49.0,522,1,1,2.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1720,3.0,2.0,100.0,896,1,1,3.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Ratlet ,1040,2.0,1.0,50.0,513,1,1,2.0
Built-up  Area,Ready To Move,Anandapura,2 Bedroom,,900,2.0,0.0,64.0,118,-1,0,2.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Neess P,1030,2.0,1.0,50.0,972,1,1,2.0
Super built-up  Area,Ready To Move,Neeladri Nagar,3 BHK,GeereEc,2556,3.0,2.0,133.0,876,1,1,3.0
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,KuisePa,1850,3.0,1.0,168.0,223,1,1,3.0
Plot  Area,Ready To Move,Kaval Byrasandra,4 Bedroom,,750,4.0,3.0,110.0,678,-1,0,4.0
Super built-up  Area,18-Apr,Balagere,2 BHK,,1028,2.0,1.0,31.86,188,1,1,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2.0,1.0,83.0,72,1,1,2.0
Built-up  Area,18-Mar,Sahakara Nagar,3 BHK,,1655,3.0,1.0,115.0,1025,1,1,3.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,940,2.0,1.0,40.0,422,1,1,2.0
Super built-up  Area,Ready To Move,Domlur,2 BHK,IBictnd,1050,2.0,2.0,85.0,402,1,1,2.0
Plot  Area,Ready To Move,Rajagopala Nagar,4 Bedroom,,600,4.0,1.0,40.0,975,-1,0,4.0
Super built-up  Area,18-Apr,Vishwapriya Nagar,2 BHK,Aaniaa ,946,2.0,1.0,38.0,1237,1,1,2.0
Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,VeSkyva,1726,3.0,3.0,145.0,292,1,1,3.0
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2121,4.0,3.0,253.0,1037,1,1,3.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,1.0,75.0,1242,1,1,2.0
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,,1525,2.0,2.0,48.0,1038,1,1,3.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Vaens G,1025,2.0,2.0,57.0,688,1,1,2.0
Plot  Area,Ready To Move,Bahubali Nagar,5 Bedroom,,1575,4.0,0.0,150.0,187,-1,0,5.0
Built-up  Area,Ready To Move,RMV 2nd Stage,2 BHK,,860,1.0,1.0,43.0,954,1,1,2.0
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,,1223,2.0,1.0,42.81,1141,1,1,3.0
Super built-up  Area,Ready To Move,Lottegolla Halli,4 BHK,AnialPa,3750,3.0,,550.0,759,1,1,4.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1197,2.0,1.0,47.8,715,1,1,2.0
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2.0,1.0,52.75,443,1,1,2.0
Built-up  Area,Ready To Move,Kodbisanhalli,4 Bedroom,Diaste ,4800,5.0,3.0,629.0,701,-1,0,4.0
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,Dhows M,1040,2.0,2.0,46.0,948,1,1,2.0
Super built-up  Area,18-May,Banashankari,2 BHK,Bregae ,1310,2.0,2.0,80.0,194,1,1,2.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1788,3.0,2.0,98.34,1179,1,1,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1144,2.0,2.0,38.55,972,1,1,2.0
Super built-up  Area,18-Jul,Anjanapura,2 BHK,,1070,2.0,2.0,39.0,129,1,1,2.0
Super built-up  Area,Ready To Move,Nandini Layout,2 BHK,,1200,2.0,2.0,70.0,861,1,1,2.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,,1862,3.0,2.0,120.0,110,1,1,3.0
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,1200,2.0,1.0,58.5,803,-1,0,2.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,970,2.0,2.0,27.0,232,1,1,2.0
Super built-up  Area,19-Mar,Kasavanhalli,3 BHK,Oca 2 V,1646,3.0,2.0,79.5,670,1,1,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Klark L,4395,4.0,2.0,242.0,1039,1,1,4.0
Plot  Area,Ready To Move,Vibhutipura Extension,5 Bedroom,,1200,4.0,1.0,100.0,1210,-1,0,5.0
Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,1995,3.0,2.0,135.0,559,1,1,3.0
Plot  Area,Ready To Move,1st Block Jayanagar,4 Bedroom,,2400,4.0,2.0,450.0,27,-1,0,4.0
Super built-up  Area,18-Dec,Hosakerehalli,2 BHK,Maunt M,1085,2.0,1.0,47.74,539,1,1,2.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2.0,2.0,56.8,278,1,1,2.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1092,2.0,2.0,44.0,506,1,1,2.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1767,3.0,2.0,98.0,922,1,1,3.0
Built-up  Area,Ready To Move,HMT Layout,3 BHK,,1700,3.0,,80.0,490,1,1,3.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Maonsrn,1692,3.0,2.0,88.0,236,1,1,3.0
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,,1645,3.0,3.0,100.0,67,1,1,3.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,57.0,1179,1,1,3.0
Super built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2.0,1.0,60.0,219,1,1,2.0
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1408,3.0,3.0,62.0,461,1,1,3.0
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,,2400,4.0,1.0,240.0,203,-1,0,4.0
Plot  Area,Ready To Move,Kadugodi,4 Bedroom,,1920,4.0,2.0,200.0,635,-1,0,4.0
Plot  Area,Ready To Move,Bileshivale,5 Bedroom,LGDewke,6040,4.0,,170.0,261,-1,0,5.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,150.0,1153,1,1,3.0
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Maens G,1420,2.0,1.0,158.0,786,1,1,2.0
Plot  Area,Ready To Move,Electronics City Phase 1,3 Bedroom,,2040,3.0,2.0,137.0,422,-1,0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1220,3.0,2.0,56.0,1039,1,1,3.0
Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,,1200,4.0,2.0,145.0,74,-1,0,4.0
Super built-up  Area,Ready To Move,B Channasandra,2 BHK,,1300,2.0,1.0,79.0,158,1,1,2.0
Super built-up  Area,21-Aug,Electronics City Phase 1,2 BHK,,1150,2.0,2.0,39.0,422,1,1,2.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1470,2.0,2.0,86.0,626,1,1,2.0
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,31.9,536,1,1,2.0
Super built-up  Area,Ready To Move,Harappanahalli,2 BHK,,1311,2.0,2.0,48.0,508,1,1,2.0
Super built-up  Area,Ready To Move,Dollars Colony,4 BHK,,3500,4.0,3.0,350.0,399,1,1,4.0
Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,,600,2.0,1.0,100.0,848,-1,0,4.0
Super built-up  Area,Ready To Move,Arehalli,3 BHK,,1400,2.0,2.0,55.0,140,1,1,3.0
Built-up  Area,16-Mar,Kanakpura Road,2 Bedroom,,2200,2.0,0.0,62.0,664,-1,0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,56.0,1148,1,1,3.0
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1060,2.0,2.0,55.0,1216,1,1,2.0
Built-up  Area,Ready To Move,Cambridge  road,3 BHK,,1000,2.0,0.0,110.0,293,1,1,3.0
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,Saitya ,1760,3.0,2.0,145.0,1053,1,1,3.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,3.0,92.0,1252,1,1,3.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1480,2.0,2.0,64.23,664,1,1,3.0
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,,1230,2.0,2.0,43.5,74,1,1,3.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,,1300,3.0,3.0,65.0,466,1,1,3.0
Plot  Area,Ready To Move,Vajarahalli,4 Bedroom,,800,4.0,0.0,120.0,1187,-1,0,4.0
Super built-up  Area,Ready To Move,Frazer Town,4 BHK,Meentan,4850,6.0,2.0,385.0,428,1,1,4.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,GRe 2iv,1100,2.0,1.0,52.0,1084,1,1,2.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,116.0,509,1,1,3.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,957,2.0,1.0,46.9,799,1,1,2.0
Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,645 - 936,1.0,0.0,41.9,188,1,1,1.0
Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1942,3.0,2.0,102.0,521,1,1,3.0
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,Swhtsna,1000,2.0,2.0,53.0,144,1,1,2.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,668,1.0,1.0,36.85,1267,1,1,1.0
Plot  Area,Ready To Move,Cholanayakanahalli,5 Bedroom,,3000,6.0,3.0,1000.0,335,-1,0,5.0
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,600,2.0,1.0,80.0,848,-1,0,3.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1089,2.0,1.0,43.55,1179,1,1,2.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,R ra  R,1800,3.0,3.0,90.0,1148,1,1,3.0
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,,960,2.0,1.0,18.0,1262,1,1,1.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1036,2.0,3.0,39.35,1261,1,1,2.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1583,3.0,3.0,105.0,799,1,1,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,,3300,4.0,0.0,150.0,72,-1,0,4.0
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Bhise P,1100,2.0,2.0,65.0,907,1,1,2.0
Plot  Area,Ready To Move,Thyagaraja Nagar,1 Bedroom,,800,1.0,1.0,100.0,1161,-1,0,1.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,65.0,1242,1,1,2.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,SaisePa,850,2.0,3.0,28.0,382,1,1,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,51.51,972,1,1,2.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3.0,2.0,114.0,1148,1,1,3.0
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,,1000,2.0,0.0,64.0,1138,-1,0,2.0
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,,1567,3.0,3.0,90.0,493,1,1,3.0
Plot  Area,19-Jan,Anekal,2 Bedroom,,1200,1.0,1.0,36.0,126,-1,0,2.0
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Co IIla,3750,6.0,3.0,290.0,1039,-1,0,4.0
Super built-up  Area,Ready To Move,Veerannapalya,2 BHK,,950,2.0,2.0,45.0,1202,1,1,2.0
Super built-up  Area,Ready To Move,Howthinarayanappa Garden,2 BHK,Vidil D,1022,2.0,2.0,52.0,546,1,1,2.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,PaigeMa,1018,2.0,0.0,23.45,654,1,1,2.0
Plot  Area,Ready To Move,Basavanagara,4 Bedroom,,2000,3.0,2.0,25.0,221,-1,0,4.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1322,2.0,2.0,68.0,249,1,1,2.0
Plot  Area,Ready To Move,Marsur,4 Bedroom,AreraRe,1800,4.0,2.0,145.0,805,-1,0,4.0
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,1460,2.0,2.0,58.39,390,1,1,3.0
Super built-up  Area,18-May,SRINIVASAPURA,2 BHK,,990,2.0,1.0,44.55,1017,1,1,2.0
Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,Sancybr,2400,3.0,1.0,260.0,294,1,1,3.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Lallere,1635,2.0,2.0,85.0,1252,1,1,3.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3526,4.0,1.0,558.0,976,1,1,4.0
Built-up  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,3400,3.0,1.0,210.0,907,-1,0,4.0
Built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,3.0,1.0,460.0,988,1,1,3.0
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,BrontLa,2710 - 3360,5.0,0.0,200.0,415,1,1,4.0
Super built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1533,3.0,2.0,85.0,797,1,1,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Hiows C,1720,3.0,1.0,134.0,98,1,1,3.0
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,,2000,3.0,1.0,200.0,428,1,1,3.0
Super built-up  Area,18-Aug,Yeshwanthpur,2 BHK,Aroomba,1185,2.0,2.0,75.84,1267,1,1,2.0
Super built-up  Area,19-Dec,Varthur Road,2 BHK,,900,2.0,1.0,27.0,1191,1,1,2.0
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,395,1.0,1.0,10.25,152,1,1,1.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031,2.0,1.0,56.35,419,1,1,2.0
Plot  Area,Ready To Move,3rd Block Banashankari,6 Bedroom,,2400,8.0,2.0,650.0,45,-1,0,6.0
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,G conTh,2650,4.0,2.0,240.0,1148,1,1,4.0
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,,2400,5.0,1.0,415.0,225,-1,0,5.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,46.55,1179,1,1,3.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Exitym ,1259,2.0,2.0,57.0,518,1,1,2.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GRvanun,1570,3.0,2.0,88.0,972,1,1,3.0
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,36.0,268,1,1,3.0
Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216,2.0,1.0,79.0,1252,1,1,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Srisei ,1428,2.0,2.0,66.0,1039,1,1,3.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1160,2.0,2.0,40.59,232,1,1,2.0
Plot  Area,18-Feb, ittamadu,3 Bedroom,,600,2.0,1.0,110.0,12,-1,0,3.0
Super built-up  Area,Ready To Move,Doddakannelli,3 BHK,SastyDy,1475,3.0,2.0,70.0,392,1,1,3.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1754,3.0,2.0,135.0,509,1,1,3.0
Super built-up  Area,18-Feb,Rayasandra,3 BHK,,1639,3.0,1.0,83.0,999,1,1,3.0
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1804,3.0,2.0,102.0,522,1,1,3.0
Plot  Area,18-Aug,Whitefield,3 Bedroom,,1200,3.0,2.0,56.2,1252,-1,0,3.0
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1135,2.0,3.0,55.0,116,1,1,2.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1260,2.0,2.0,46.62,232,1,1,2.0
Plot  Area,Ready To Move,Peenya,5 Bedroom,,1440,5.0,1.0,110.0,924,-1,0,5.0
Built-up  Area,Ready To Move,Hennur Road,3 BHK,Asadacy,2160,3.0,2.0,160.0,522,1,1,3.0
Plot  Area,Ready To Move,Rayasandra,7 Bedroom,,700,6.0,,85.0,999,-1,0,7.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1220,2.0,2.0,59.5,964,1,1,2.0
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,1200,2.0,0.0,67.0,803,-1,0,2.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Chara N,1300,2.0,3.0,65.0,1261,1,1,2.0
Super built-up  Area,Ready To Move,Cox Town,1 BHK,EGdiaAr,605,1.0,1.0,29.0,348,1,1,1.0
Plot  Area,Ready To Move,Vijayanagar,6 Bedroom,,1230,4.0,1.0,210.0,1222,-1,0,6.0
Super built-up  Area,18-Apr,Bhoganhalli,2 BHK,Rosha I,1444,2.0,1.0,75.97,252,1,1,2.0
Built-up  Area,Ready To Move,Amruthahalli,2 BHK,,924,2.0,1.0,45.0,114,1,1,2.0
Super built-up  Area,18-Nov,Kaikondrahalli,2 BHK,,1000,2.0,1.0,30.0,639,1,1,2.0
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,,600,4.0,0.0,95.0,1234,-1,0,4.0
Plot  Area,Ready To Move,Patelappa Layout,3 Bedroom,,1200,3.0,3.0,225.0,920,-1,0,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,29.0,268,1,1,2.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,35.0,664,1,1,2.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1187,2.0,2.0,58.0,716,1,1,2.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Saconp ,1625,3.0,2.0,55.0,637,1,1,3.0
Plot  Area,Ready To Move, Devarachikkanahalli,2 Bedroom,,1200,2.0,2.0,83.0,5,-1,0,2.0
Super built-up  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1452.55,2.0,3.0,110.0,943,1,1,2.0
Built-up  Area,Ready To Move,"Thanisandra Main Road, ",3 BHK,,2357,3.0,2.0,151.0,1149,1,1,3.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,1200,2.0,1.0,49.5,678,1,1,2.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2.0,2.0,56.85,278,1,1,2.0
Built-up  Area,Ready To Move,Basavangudi,1 Bedroom,,600,1.0,0.0,97.5,223,-1,0,1.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1660,3.0,3.0,75.0,664,1,1,3.0
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Rakulai,1170,2.0,3.0,105.0,600,1,1,2.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1448,2.0,2.0,68.0,1089,1,1,2.0
