area_type,availability,location,size,society,total_sqft,bath,balcony,price,location_numerical,,Number of Bedrooms
Super built-up  Area,18-Mar,Kadugodi,3,Alestrb,1890,4,3,1270000,635,,
Super built-up  Area,Ready To Move,Ashwathnagar,3,Vaour S,2197,4,3,2800000,148,,
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,GonumPl,3522,3,2,3800000,514,,
Super built-up  Area,18-Apr,Gaurava Nagar,3,,1240,2,2,460000,447,,
Built-up  Area,Ready To Move,HRBR Layout,2,Vaaveeh,1440,2,2,980000,493,,
Super built-up  Area,Ready To Move,Kodichikkanahalli,1,,650,1,2,380000,702,,
Super built-up  Area,19-Jun,Budigere,1,Brstaue,764,1,1,320000,278,,
Plot  Area,Ready To Move,Sector 7 HSR Layout,5,,900,4,0,900000,1053,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3,573900,972,,
Built-up  Area,Ready To Move,Hoodi,3,Macanr ,1445,3,2,650000,530,,
Super built-up  Area,21-Oct,Kanakpura Road,2,PrarePa,900,1,0,450000,664,,
Super built-up  Area,Ready To Move,Singasandra,2,,1030,2,,550000,1084,,
Super built-up  Area,Ready To Move,Yelahanka,3,Pyikad ,1381,2,2,524800,1261,,
Built-up  Area,Ready To Move,Basapura,2,Krtiqa ,1100,2,1,600000,219,,
Super built-up  Area,Ready To Move,Hoodi,3,,1575,3,2,663900,530,,
Plot  Area,Ready To Move,Thigalarapalya,2,,1200,2,1,650000,1153,,
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,432000,232,,
Super built-up  Area,Ready To Move,Kasturi Nagar,2,GradeMR,1080,2,2,800000,673,,
Plot  Area,Ready To Move,Hebbal Kempapura,5,,2280,5,,2000000,514,,
Super built-up  Area,18-Mar,Akshaya Nagar,3,,1360,2,2,850000,98,,
Super built-up  Area,19-Dec,Jakkur,3,Ceezey ,1865,3,1,1240000,584,,
Super built-up  Area,18-Nov,Sarjapur  Road,3,AsastDe,1157,2,1,750000,1039,,
Super built-up  Area,Ready To Move,Kammasandra,2,Icingpy,674,2,1,290000,654,,
Super built-up  Area,Ready To Move,Whitefield,3,AdndeBe,1405,2,1,780000,1252,,
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,440800,232,,
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4,,1600,3,1,1720000,691,,
Super built-up  Area,21-Mar,Hebbal,3,Oztarol,1790,3,2,1270000,513,,
Super built-up  Area,18-May,Electronic City,2,Praun,1128,2,1,656500,417,,
Super built-up  Area,Ready To Move,Panathur,2,Arentpa,1180,2,1,700000,914,,
Built-up  Area,Ready To Move,AGS Layout,3,,1450,2,2,850000,82,,
Built-up  Area,18-Mar,Kengeri,1,,340,1,1,100000,688,,
Built-up  Area,Ready To Move,Srinagar,4,,2000,3,1,1660000,1102,,
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,535000,964,,
Super built-up  Area,Ready To Move,Varthur,2,Pethaai,1125,2,2,400000,1190,,
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246,2,1,680000,1242,,
Super built-up  Area,Ready To Move,HSR Layout,2,SrisePo,1372,2,1,610000,494,,
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1330,2,1,560000,1179,,
Super built-up  Area,19-Dec,Binny Pete,3,She 2,2465,5,2,2340000,267,,
Super built-up  Area,Ready To Move,Dasarahalli,2,,1300,2,3,550000,360,,
Plot  Area,Ready To Move,Brigade Road,2,,1420,1,0,2200000,273,,
Plot  Area,Ready To Move,Bannerghatta,4,,810,4,1,500000,215,,
Super built-up  Area,Ready To Move,Channasandra,2,Unm 2El,1065,2,1,350000,306,,
Built-up  Area,Ready To Move,Hessarghatta,2,,700,2,0,270000,524,,
Carpet  Area,18-Mar,Hebbal,2,Arcia S,547.34 - 827.31,2,0,427200,513,,
Super built-up  Area,Ready To Move,Belathur,2,Viiniai,1050,2,1,450000,234,,
Super built-up  Area,18-Apr,Maruthi HBCS Layout,3,,1250,3,3,395000,807,,
Built-up  Area,Ready To Move,Electronic City,2,Palleon,865,2,0,420000,417,,
Super built-up  Area,Ready To Move,Uttarahalli,2,,1200,2,2,440000,1179,,
Built-up  Area,Ready To Move,Srirampura,3,NRnoral,1756,3,3,1000000,1105,,
Plot  Area,Ready To Move,Malleshwaram,9,,750,8,,1500000,786,,
Super built-up  Area,Ready To Move,Yelahanka,1,Ardanru,628,1,1,240000,1261,,
Plot  Area,Ready To Move,9th Phase JP Nagar,7,,1200,6,2,1950000,77,,
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,,1207,2,2,630000,62,,
Super built-up  Area,Ready To Move,Kalena Agrahara,3,KlaBe,1765,3,1,1250000,641,,
Built-up  Area,18-Dec,Electronic City,2,,1130,2,1,326400,417,,
Super built-up  Area,18-Jun,Devanahalli Road,3,Ozana U,1532,3,3,920000,367,,
Built-up  Area,Ready To Move,Ejipura,3,DSncele,1650,3,0,1100000,416,,
Built-up  Area,18-May,Horamavu Banaswadi,4,,1200,4,2,1050000,534,,
Carpet  Area,18-Dec,Bhoganhalli,2,Rosha I,804.1,2,1,690900,252,,
Super built-up  Area,18-Apr,Doddathoguru,2,,1200,2,2,750000,396,,
Super built-up  Area,Ready To Move,Kengeri,2,,1197,2,2,500000,688,,
Built-up  Area,Ready To Move,Green Woods Layout,2,Paalu,1200,2,2,660000,476,,
Super built-up  Area,Ready To Move,Uttarahalli,3,Shony S,1385,2,2,484800,1179,,
Super built-up  Area,Ready To Move,Craig Pa Layout,2,Ceary,1010,2,3,1480000,349,,
Super built-up  Area,Ready To Move,Whitefield,3,UKe 2nz,2225,3,3,1150000,1252,,
Super built-up  Area,Ready To Move,Immadihalli,2,Niimet ,1180,2,2,480000,562,,
Super built-up  Area,Ready To Move,Banagiri Nagar,3,,1525,2,3,1220000,191,,
Super built-up  Area,Ready To Move,Ananth Nagar,2,,1100,2,2,315000,121,,
Super built-up  Area,Ready To Move,Hiremath Layout,3,,1435,3,3,700000,527,,
Built-up  Area,Ready To Move,Attibele,1,Jae 2hu,400,1,1,140000,152,,
Super built-up  Area,Ready To Move,Dommasandra,2,Asene S,1200,2,2,500000,404,,
Super built-up  Area,21-Mar,Whitefield,2,PritaDo,1272,2,1,950500,1252,,
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1205,2,1,390000,1252,,
Built-up  Area,Ready To Move,Kalena Agrahara,2,ARomee ,980,2,1,400000,641,,
Super built-up  Area,18-May,Malleshpalya,2,,1225,2,2,468600,785,,
Built-up  Area,Ready To Move,Whitefield,3,,1541,3,1,720000,1252,,
Super built-up  Area,Ready To Move,Ramagondanahalli,3,DNeremo,1610,2,2,1110000,987,,
Super built-up  Area,Ready To Move,Jalahalli,2,Tahtsla,1694,2,2,1250000,589,,
Plot  Area,Ready To Move,Jnanabharathi Layout,3,,600,3,2,750000,609,,
Super built-up  Area,Ready To Move,Kaggalipura,2,Baowsig,950,2,1,390000,638,,
Super built-up  Area,Ready To Move,Muneshwara Nagar,3,Laderav,1560,2,3,660000,830,,
Super built-up  Area,Ready To Move,Chandapura,2,,1201,2,2,270000,304,,
Plot  Area,Ready To Move,Chandapura,2,,1500,2,1,600000,304,,
Super built-up  Area,Ready To Move,Malleshpalya,3,,1785,3,2,750000,785,,
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,,1258,2,1,635300,972,,
Super built-up  Area,Ready To Move,Electronic City,2,CoapeSo,910,2,2,420000,417,,
Super built-up  Area,Ready To Move,Thigalarapalya,2,,1297,2,2,1120000,1153,,
Super built-up  Area,Ready To Move,Kundalahalli,2,Vangsld,1291,2,3,490000,731,,
Built-up  Area,Ready To Move,Chikkasandra,2,,1070,2,2,420000,328,,
Super built-up  Area,Ready To Move,Varthur,2,Soamsay,1012,2,1,665000,1190,,
Super built-up  Area,Ready To Move,Mahadevpura,2,,1260,2,3,576000,773,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Maantr ,1282,2,2,720000,1039,,
Super built-up  Area,Ready To Move,Kanakpura Road,3,Puestol,1843,3,2,921500,664,,
Plot  Area,Ready To Move,Bharath Housing Society Layout,4,,2400,3,,2000000,248,,
Built-up  Area,Ready To Move,Chikka Tirupathi,5,Theanmp,3356,5,2,1050000,317,,
Super built-up  Area,19-Mar,Hebbal,4,Raard B,2790,5,3,1980000,513,,
Super built-up  Area,Ready To Move,EPIP Zone,2,BrontLa,1330,2,1,869800,415,,
Super built-up  Area,Ready To Move,Konanakunte,3,A rtsai,1400,2,1,730000,708,,
Built-up  Area,18-Dec,Whitefield,2,,1192,2,1,710000,1252,,
Built-up  Area,Ready To Move,3rd Block Jayanagar,2,,1000,2,1,1300000,48,,
Super built-up  Area,Ready To Move,Thigalarapalya,2,Prtanha,1297,2,2,1030000,1153,,
Super built-up  Area,19-Jul,Sarjapur  Road,1,Sasta S,580 - 650,1,0,178350,1039,,
Super built-up  Area,21-Jun,Vijayanagar,3,Saahaat,1490,3,2,1000000,1222,,
Super built-up  Area,Ready To Move,Rayasandra,3,MJeusyl,1373,3,2,720000,999,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1035,2,1,413900,72,,
Plot  Area,Ready To Move,Kadugodi,4,,3750,4,0,2100000,635,,
Super built-up  Area,Ready To Move,Doddakallasandra,2,,1010,2,1,403900,390,,
Built-up  Area,Ready To Move,Sarjapur,2,,1195,2,1,420000,1038,,
Super built-up  Area,Ready To Move,HSR Layout,3,Klort C,1750,3,2,950000,494,,
Super built-up  Area,Ready To Move,Malleshpalya,2,A idse ,1052,2,2,500000,785,,
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,,1180,2,2,580000,534,,
Built-up  Area,Ready To Move,Padmanabhanagar,5,,3680,4,2,4400000,907,,
Built-up  Area,Ready To Move,Hormavu,3,,2100,3,2,730000,535,,
Built-up  Area,18-Mar,Hoodi,4,,2863,4,1,1400000,530,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1128,2,2,382400,972,,
Built-up  Area,Ready To Move,Ulsoor,3,,2700,3,1,4500000,1176,,
Super built-up  Area,18-Jul,JP Nagar,2,DSvvyx ,1120,2,2,336000,575,,
Built-up  Area,Ready To Move,HSR Layout,3,,2424,3,2,900000,494,,
Built-up  Area,Ready To Move,Manjunatha Layout,2,,1300,2,1,600000,793,,
Super built-up  Area,Ready To Move,Kanakapura,2,SPavenc,1090,2,2,326900,658,,
Built-up  Area,Ready To Move,Yelahanka,3,,2710,3,1,2510000,1261,,
Plot  Area,Ready To Move,Konanakunte Cross,2,,3040,1,1,1800000,709,,
Super built-up  Area,Ready To Move,Uttarahalli,3,SLnssPr,1330,2,2,465500,1179,,
Super built-up  Area,18-Jul,Hosur Road,3,PuendWe,1427,2,1,806300,544,,
Super built-up  Area,18-Aug,Banjara Layout,3,,1294,2,2,480000,212,,
Built-up  Area,Ready To Move,Begur,3,Vantspa,1580,3,2,750000,231,,
Plot  Area,Ready To Move,Uttarahalli,5,,400,5,1,2000000,1179,,
Plot  Area,Ready To Move,Chikka Tirupathi,3,FiriaVi,1808,4,2,802700,317,,
Super built-up  Area,Ready To Move,Rajaji Nagar,4,PhestOn,3516,4,3,5400000,976,,
Super built-up  Area,Ready To Move,Parappana Agrahara,2,Peide L,1194,2,2,470000,918,,
Super built-up  Area,21-Dec,Kanakpura Road,2,PrarePa,900,2,1,460000,664,,
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,3,,1310,2,3,500000,85,,
Super built-up  Area,21-Oct,Kanakpura Road,2,PrarePa,900,2,1,460000,664,,
Built-up  Area,Ready To Move,Singasandra,4,,3850,6,3,1950000,1084,,
Plot  Area,Ready To Move,Kogilu,7,,925,7,3,880000,707,,
Super built-up  Area,16-Dec,Yelachenahalli,2,,2400,1,1,1500000,1260,,
Super built-up  Area,Ready To Move,Koramangala,2,,1290,2,3,1000000,713,,
Built-up  Area,Ready To Move,Yelahanka,6,,3770,6,3,1100000,1261,,
Super built-up  Area,Ready To Move,Lakshmi Layout,3,Cemesti,1390,3,1,1200000,743,,
Plot  Area,Ready To Move,Tavarekere,4,,1200,4,2,720000,1144,,
Built-up  Area,Ready To Move,Bisuvanahalli,2,Prityel,845,2,1,330000,268,,
Super built-up  Area,Ready To Move,Yelahanka,3,Niareum,1537,3,3,1200000,1261,,
Super built-up  Area,Ready To Move,Immadihalli,2,,1135,2,2,680000,562,,
Super built-up  Area,19-Dec,Hoodi,3,Caycend,1512,3,2,757700,530,,
Super built-up  Area,Ready To Move,Srinivasa Nagar,2,,900,2,1,550000,1104,,
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1230,3,3,540000,606,,
Super built-up  Area,18-Apr,Thirumenahalli,3,MNtha A,1378,2,3,423300,1156,,
Super built-up  Area,17-Oct,Whitefield,2,Asarqz ,1277,2,1,613000,1252,,
Super built-up  Area,19-Jun,Hebbal,3,Raard B,1985,4,2,1890000,513,,
Plot  Area,Ready To Move,Kengeri,5,,8000,5,,5000000,688,,
Super built-up  Area,Ready To Move,KPC Layout,2,SVmesVi,1210,2,2,620000,623,,
Super built-up  Area,Ready To Move,Yelahanka,2,,890,2,,400000,1261,,
Plot  Area,Ready To Move,JP Nagar,9,,2550,9,0,3600000,575,,
Plot  Area,Ready To Move,Sarjapur,4,,1200,5,2,1100000,1038,,
Built-up  Area,Ready To Move,Ardendale,4,AWharde,3198,4,3,2000000,139,,
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3,,1464,3,2,560000,491,,
Super built-up  Area,Ready To Move,Hebbal,4,Prersis,2483,5,2,2150000,513,,
Plot  Area,Ready To Move,Begur,4,,1550,4,2,1300000,231,,
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Vaunei ,4111,4,1,3100000,1039,,
Super built-up  Area,Ready To Move,Electronic City,2,SNncypa,975,2,2,375000,417,,
Super built-up  Area,Ready To Move,Nandi Durga Road,3,,2500,3,1,2500000,859,,
Super built-up  Area,Ready To Move,Rajiv Nagar,3,PuoodSk,1690,3,1,1250000,986,,
Super built-up  Area,18-May,Hosa Road,2,SStusan,1063,2,1,318900,536,,
Plot  Area,Ready To Move,Cooke Town,3,,2572,3,3,3900000,346,,
Carpet  Area,Ready To Move,Kumara Pa,3,,2200,4,,3500000,725,,
Built-up  Area,Ready To Move,Daadys Gaarden Layout,3,InockHo,1600,3,0,800000,356,,
Super built-up  Area,18-May,Maruthi Nagar,3,,1250,3,1,395000,809,,
Super built-up  Area,Ready To Move,Bommanahalli,1,Prtusth,520,1,0,195000,269,,
Super built-up  Area,Ready To Move,Marathahalli,4,PueraRi,4000,5,,2120000,799,,
Built-up  Area,Ready To Move,Munnekollal,3,Keids O,1390,3,2,680000,832,,
Super built-up  Area,18-May,Whitefield,2,SSdhimr,1185,2,2,400000,1252,,
Super built-up  Area,Ready To Move,Sahakara Nagar,2,KVersuj,1219,2,2,480000,1025,,
Super built-up  Area,18-Dec,Kudlu Gate,3,Sanzaat,1564,2,1,920000,722,,
Super built-up  Area,Ready To Move,Sarjapur  Road,4,DSndsod,3425 - 3435,6,0,2285000,1039,,
Super built-up  Area,Ready To Move,Hosa Road,2,Sancei ,1100,2,2,371000,536,,
Built-up  Area,Ready To Move,Kothannur,3,Esale O,1300,2,0,600000,715,,
Plot  Area,Ready To Move,Chikkabanavar,3,,1600,2,0,800000,319,,
Built-up  Area,Ready To Move,Ramamurthy Nagar,3,,1600,3,2,750000,990,,
Super built-up  Area,19-Mar,Hennur Road,3,Puachal,1482,2,1,920000,522,,
Plot  Area,18-May,Marsur,3,MGave E,1000,4,3,660000,805,,
Super built-up  Area,Ready To Move,Shampura,2,,1200,2,3,530000,1059,,
Plot  Area,Ready To Move,Gubbalala,3,,600,3,2,750000,478,,
Super built-up  Area,Ready To Move,Kengeri,2,,1200,2,0,580000,688,,
Plot  Area,Ready To Move,Kereguddadahalli,6,,600,4,0,600000,694,,
Built-up  Area,Ready To Move,Nagarbhavi,3,,2400,3,0,1600000,848,,
Super built-up  Area,19-Dec,Marathahalli,3,PrensKe,1469,3,1,890000,799,,
Super built-up  Area,22-Mar,Kanakapura,1,,551,1,1,300000,658,,
Super built-up  Area,19-Dec,Electronics City Phase 1,2,,1160,2,1,520000,422,,
Super built-up  Area,Ready To Move,Balagere,2,Soresea,1205,2,1,785000,188,,
Built-up  Area,Ready To Move,Kasavanhalli,3,,1550,2,3,520000,670,,
Super built-up  Area,Ready To Move,Gubbalala,3,MauilTr,1745,3,2,1250000,478,,
Super built-up  Area,Ready To Move,AECS Layout,2,Kamesar,1028,2,1,420000,80,,
Super built-up  Area,Ready To Move,Frazer Town,3,CaaveEn,1700,3,1,1800000,428,,
Super built-up  Area,Ready To Move,Karuna Nagar,3,NadriNe,1200,2,1,340000,669,,
Super built-up  Area,Ready To Move,Kodihalli,3,Soianal,2700,4,1,2700000,705,,
Built-up  Area,Ready To Move,Kallumantapa,2,BSand,1100,2,2,500000,645,,
Plot  Area,Ready To Move,Ramamurthy Nagar,2,,1200,3,1,720000,990,,
Super built-up  Area,Ready To Move,Kaverappa Layout,2,Dural C,1269.72,2,2,680000,679,,
Super built-up  Area,Ready To Move,Electronic City Phase II,2,SJmesst,1266,2,2,590000,419,,
Super built-up  Area,Ready To Move,Mysore Road,2,Sha S,1060,2,1,620000,837,,
Plot  Area,Ready To Move,Malimakanapura,3,Copust ,1168,3,0,700000,781,,
Super built-up  Area,Ready To Move,Medahalli,2,Sancya ,1552,2,1,510000,816,,
Super built-up  Area,18-May,Talaghattapura,3,Sodgere,1804 - 2273,3,0,1200000,1141,,
Super built-up  Area,Ready To Move,Attibele,1,Jae 1hu,500,1,1,170000,152,,
Super built-up  Area,Ready To Move,Hulimavu,2,,1080,2,2,432000,549,,
Plot  Area,Ready To Move,Kattigenahalli,4,,2100,4,,1550000,677,,
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2,Shntsan,1300,2,2,650000,1010,,
Built-up  Area,Ready To Move,Electronics City Phase 1,2,SNavenc,920,2,2,330000,422,,
Plot  Area,Ready To Move,New Thippasandra,4,,817,2,1,1200000,882,,
Built-up  Area,Ready To Move,Harlur,2,SrEndPo,1310,2,1,500000,509,,
Super built-up  Area,Ready To Move,Horamavu Agara,3,,1650,2,1,750000,533,,
Super built-up  Area,Ready To Move,Garden Layout,3,DSidePr,1515,3,3,939300,441,,
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,2,Prllsan,1157,2,1,538000,972,,
Super built-up  Area,Ready To Move,Viswapriyanagar.begur Road.bommanahalli.,4,,2400,5,1,850000,1239,,
Super built-up  Area,Ready To Move,Konanakunte,4,Siisega,3000,4,3,1600000,708,,
Super built-up  Area,Ready To Move,Basavangudi,3,,2200,2,1,1620000,223,,
Built-up  Area,19-Dec,"Hoodi Circle, ",2,,1243,2,1,580000,531,,
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,743900,964,,
Super built-up  Area,Ready To Move,Judicial Layout,3,HRnyaAn,2070,3,3,1620000,612,,
Built-up  Area,Ready To Move,Yelahanka,3,PrrloMo,1815,3,2,820000,1261,,
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Maana E,3900,4,3,3000000,1039,,
Super built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1000,2,1,288800,419,,
Super built-up  Area,18-May,Ananth Nagar,2,,982,2,2,245500,121,,
Super built-up  Area,Ready To Move,Hennur Road,2,Puachal,1232,2,2,890000,522,,
Super built-up  Area,19-Dec,Binny Pete,3,Shestlo,1282,3,2,1780000,267,,
Super built-up  Area,Ready To Move,Yelahanka,1,Prensya,654,1,1,384000,1261,,
Built-up  Area,Ready To Move,Bannerghatta Road,2,,1181,2,0,550000,216,,
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,450000,268,,
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,,1200,4,2,2450000,43,,
Super built-up  Area,Ready To Move,T K Reddy Layout,3,DSineun,1616,3,1,750000,1133,,
Built-up  Area,Ready To Move,Herohalli,5,,1800,6,0,445000,523,,
Plot  Area,Ready To Move,Kumbena Agrahara,6,,1200,4,1,1350000,729,,
Super built-up  Area,20-Dec,Whitefield,3,Somns T,1306,3,2,546500,1252,,
Super built-up  Area,Ready To Move,Whitefield,3,Nillsre,1626,3,3,890000,1252,,
Built-up  Area,Ready To Move,"Pai layout , Mahadevapura",6,,2700,4,2,2140000,909,,
Super built-up  Area,Ready To Move,Whitefield,3,Sudama ,1585,3,2,880000,1252,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1370,2,1,561700,72,,
Plot  Area,Ready To Move,Whitefield,5,,3250,5,3,9000000,1252,,
Super built-up  Area,Ready To Move,Kanakpura Road,2,Goelsn ,1495,2,2,900000,664,,
Super built-up  Area,Ready To Move,frazertown,3,,2000,3,2,2100000,1281,,
Plot  Area,Ready To Move,Akshayanagara East,5,,2400,4,1,3000000,100,,
Plot  Area,Ready To Move,Bannerghatta,3,,1375,3,0,570000,215,,
Super built-up  Area,Ready To Move,Old Madras Road,4,Brica E,3630 - 3800,6,0,2245000,896,,
Built-up  Area,Ready To Move,Kereguddadahalli,3,,1400,2,2,480000,694,,
Super built-up  Area,Ready To Move,Kadugodi,5,,1100,5,0,1350000,635,,
Super built-up  Area,21-Dec,Whitefield,1,SudenEd,660 - 670,,,285850,1252,,
Plot  Area,Ready To Move,Hebbal Kempapura,4,,1200,4,2,2150000,514,,
Super built-up  Area,Ready To Move,Yelahanka,2,,1150,2,2,460000,1261,,
Super built-up  Area,Ready To Move,Hebbal,2,,1080,2,1,540000,513,,
Super built-up  Area,Ready To Move,Kaikondrahalli,3,Brtiael,1645,3,2,1000000,639,,
Super built-up  Area,Ready To Move,Doddanekundi,3,AkletBa,1760,3,3,1760000,395,,
Built-up  Area,Ready To Move,Venkatadri Layout,1,Raiyai ,595,1,1,420000,1204,,
Plot  Area,Ready To Move,Bommenahalli,3,Prana S,1200,3,1,1250000,272,,
Super built-up  Area,18-Dec,JP Nagar,4,Pehtsa ,4000 - 5249,4,0,3145000,575,,
Built-up  Area,Ready To Move,Mahaganapathy Nagar,2,Vaodak ,1410,2,3,670000,774,,
Built-up  Area,18-Dec,Huskur,2,,1090,2,1,314800,552,,
Plot  Area,Ready To Move,Ramagondanahalli,1,,540,1,0,300000,987,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Maaveal,1300,2,2,600000,1039,,
Built-up  Area,Ready To Move,9th Phase JP Nagar,3,ImiteEl,1890,2,2,850000,77,,
Super built-up  Area,Ready To Move,Belathur,2,SLwernf,1254,2,1,530000,234,,
Built-up  Area,Ready To Move,Kattigenahalli,7,,2800,7,2,1250000,677,,
Built-up  Area,Ready To Move,Ulsoor,2,,1275,2,,1200000,1176,,
Super built-up  Area,Ready To Move,Kathriguppe,3,,1245,2,2,684800,675,,
Built-up  Area,Ready To Move,Rustam Bagh Layout,2,TealdEm,1170,2,2,860000,1010,,
Super built-up  Area,18-Apr,Panathur,2,Prcesvy,1193,2,1,860000,914,,
Super built-up  Area,18-Dec,Chandapura,2,,850,2,1,254000,304,,
Super built-up  Area,Ready To Move,Marathahalli,3,PadgeOa,1678,3,3,700000,799,,
Built-up  Area,Ready To Move,Gunjur,3,NDrelau,1600,3,3,750000,484,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,GaicaVe,1750,3,2,840000,422,,
Super built-up  Area,18-Nov,Whitefield,2,,1125,2,2,620000,1252,,
Plot  Area,Ready To Move,Andrahalli,4,,2200,4,3,2350000,125,,
Plot  Area,Ready To Move,Singena Agrahara,3,CoiewSy,1500Sq. Meter,3,1,950000,1085,,
Built-up  Area,Ready To Move,HBR Layout,3,Peentn ,2800,2,0,2000000,489,,
Plot  Area,Ready To Move,R.T. Nagar,2,,1200,2,1,1200000,948,,
Built-up  Area,Ready To Move,Vittal Nagar,2,Riave E,1000,2,1,500000,1241,,
Built-up  Area,Ready To Move,Sadashiva Nagar,4,,2780,5,2,4800000,1022,,
Built-up  Area,18-Dec,Electronic City Phase II,3,Sryalan,1320,2,1,381300,419,,
Super built-up  Area,Ready To Move,2Electronic City Phase II,27,,8000,27,0,2300000,34,,
Super built-up  Area,Ready To Move,Ardendale,4,AWharde,2422,4,2,1600000,139,,
Built-up  Area,Ready To Move,Kasavanhalli,2,TNaldme,1100,2,1,500000,670,,
Built-up  Area,Ready To Move,Uttarahalli,2,Gaent R,882,2,1,300000,1179,,
Super built-up  Area,Ready To Move,Bisuvanahalli,2,Prityel,845,2,1,370000,268,,
Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883,2,1,390000,650,,
Super built-up  Area,Ready To Move,Thanisandra,1,Bhmesy ,620 - 933,,,481450,1148,,
Super built-up  Area,Ready To Move,Brookefield,3,Gotaten,1595,3,3,880000,277,,
Built-up  Area,Ready To Move,Whitefield,2,Gotis A,1280,2,0,850000,1252,,
Built-up  Area,Ready To Move,3rd Block Banashankari,4,,1700,2,1,5500000,45,,
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2,NaaveEn,920,2,0,350000,254,,
Super built-up  Area,Ready To Move,Choodasandra,2,GRlpank,1300,2,3,570000,336,,
Super built-up  Area,Ready To Move,Shanthala Nagar,2,Malex C,1450,1,0,2300000,1061,,
Super built-up  Area,Ready To Move,Harlur,3,SosicCl,1757,3,2,1320000,509,,
Super built-up  Area,Ready To Move,Anekal,1,,600,1,1,165000,126,,
Built-up  Area,Ready To Move,Jnanabharathi Layout,4,,2400,3,2,1420000,609,,
Super built-up  Area,Ready To Move,Sarjapur,2,,1240,2,1,440000,1038,,
Plot  Area,Ready To Move,Kadarenahalli,10,,750,10,,900000,633,,
Super built-up  Area,18-Feb,EPIP Zone,2,BrontLa,1330,2,1,933600,415,,
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,MBodsen,1062,2,1,424700,74,,
Built-up  Area,Ready To Move,JP Nagar,2,DSillto,1078,2,2,450000,575,,
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1460,2,2,720000,216,,
Plot  Area,18-Dec,Whitefield,3,,1200,3,2,685000,1252,,
Super built-up  Area,Ready To Move,Laggere,1,,1200,1,1,480000,739,,
Super built-up  Area,Ready To Move,Kammasandra,3,,912,2,1,390000,654,,
Super built-up  Area,19-Mar,Hosa Road,3,Sosisic,142.61Sq. Meter,3,1,1150000,536,,
Plot  Area,Ready To Move,Victoria Layout,5,,2400,5,1,6250000,1212,,
Plot  Area,Ready To Move,Prithvi Layout,4,Prigh L,2028,4,3,1620000,941,,
Super built-up  Area,19-Apr,Mysore Road,2,Brama P,980,2,1,454700,837,,
Built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1000,2,2,400000,1039,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Ahriaup,1050,2,1,620000,1039,,
Built-up  Area,18-Dec,Bannerghatta,3,,2611,3,1,2390000,215,,
Super built-up  Area,Ready To Move,Domlur,3,Saiewas,1875,2,2,1500000,402,,
Super built-up  Area,Ready To Move,Hennur Road,2,,1065,2,1,426000,522,,
Built-up  Area,Ready To Move,Sanjay nagar,3,,1800,3,2,1800000,1033,,
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2,,1163,2,2,988600,1053,,
Super built-up  Area,Ready To Move,Tumkur Road,2,,1098,2,1,720000,1168,,
Built-up  Area,Ready To Move,5th Phase JP Nagar,3,Shlashi,1725,2,2,1000000,62,,
Plot  Area,Ready To Move,Whitefield,4,,4000,4,2,3300000,1252,,
Super built-up  Area,Ready To Move,Thubarahalli,2,Adity S,1128,2,2,750000,1159,,
